datetime,open,high,low,close,volume,hourly
2023-12-01 00:00:00,12.17,12.37,12.16,12.31,4386.34,0
2023-12-01 00:15:00,12.31,12.49,12.22,12.35,9839.22,0
2023-12-01 00:30:00,12.37,12.49,12.32,12.36,6397.49,0
2023-12-01 00:45:00,12.34,12.52,12.32,12.46,3524.89,0
2023-12-01 01:00:00,12.46,12.69,12.42,12.61,14014.2,1
2023-12-01 01:15:00,12.61,12.86,12.61,12.72,12505.0,1
2023-12-01 01:30:00,12.71,12.96,12.68,12.69,12236.33,1
2023-12-01 01:45:00,12.7,12.71,12.55,12.58,6973.95,1
2023-12-01 02:00:00,12.6,12.93,12.59,12.88,6730.25,2
2023-12-01 02:15:00,12.88,13.01,12.78,12.78,11731.92,2
2023-12-01 02:30:00,12.79,12.86,12.75,12.84,3281.36,2
2023-12-01 02:45:00,12.84,12.88,12.64,12.66,4957.24,2
2023-12-01 03:00:00,12.69,12.73,12.57,12.72,5195.09,3
2023-12-01 03:15:00,12.72,12.79,12.62,12.69,7013.72,3
2023-12-01 03:30:00,12.69,12.69,12.49,12.49,3562.47,3
2023-12-01 03:45:00,12.49,12.51,12.43,12.43,2795.56,3
2023-12-01 04:00:00,12.44,12.58,12.4,12.55,3708.25,4
2023-12-01 04:15:00,12.56,12.62,12.51,12.59,2144.14,4
2023-12-01 04:30:00,12.58,12.76,12.58,12.66,3477.3,4
2023-12-01 04:45:00,12.66,12.85,12.62,12.75,2299.01,4
2023-12-01 05:00:00,12.73,12.79,12.58,12.58,1708.86,5
2023-12-01 05:15:00,12.59,12.7,12.59,12.68,1968.53,5
2023-12-01 05:30:00,12.68,12.69,12.47,12.51,6000.58,5
2023-12-01 05:45:00,12.53,12.56,12.47,12.56,1196.72,5
2023-12-01 06:00:00,12.56,12.56,12.45,12.5,4521.38,6
2023-12-01 06:15:00,12.51,12.56,12.45,12.56,1229.91,6
2023-12-01 06:30:00,12.57,12.65,12.56,12.62,1972.86,6
2023-12-01 06:45:00,12.63,12.7,12.63,12.63,1641.56,6
2023-12-01 07:00:00,12.64,12.74,12.62,12.65,2302.15,7
2023-12-01 07:15:00,12.67,12.73,12.62,12.62,821.47,7
2023-12-01 07:30:00,12.64,12.64,12.45,12.46,4776.29,7
2023-12-01 07:45:00,12.46,12.52,12.4,12.41,4241.08,7
2023-12-01 08:00:00,12.43,12.48,12.29,12.3,6897.43,8
2023-12-01 08:15:00,12.3,12.35,12.25,12.34,3904.24,8
2023-12-01 08:30:00,12.34,12.44,12.3,12.4,4829.05,8
2023-12-01 08:45:00,12.41,12.5,12.39,12.49,3496.51,8
2023-12-01 09:00:00,12.5,12.78,12.45,12.78,10377.12,9
2023-12-01 09:15:00,12.76,12.88,12.67,12.71,10413.09,9
2023-12-01 09:30:00,12.73,12.84,12.64,12.68,7717.63,9
2023-12-01 09:45:00,12.66,12.69,12.57,12.61,13230.68,9
2023-12-01 10:00:00,12.62,12.62,12.48,12.52,5662.35,10
2023-12-01 10:15:00,12.5,12.65,12.47,12.64,5819.31,10
2023-12-01 10:30:00,12.62,12.65,12.55,12.6,4511.71,10
